tweet  ;etiket;
türkiyede artık sarayın kasasını bir şekilde doldurmak gerek trafik cezaları korona cezaları insanlar geçim derdinde bunlar nelerle uğraşıyor üzülüyorum ;n;
korona olma ihtimalin daha yüksek ;nt;
korona insanların psikolojisini bozdunuz ;n;
öğrenciler sınava gitmeye çalışıyordur istemiyor ;n;
yeni korona diye okudum psikolojimiz bozulmuş yazık  ;n;
evde kal sağlıklı kal  korona süreci boyunca böyle mükemmel fotoğraflar paylaşacağım ;p;
korona olmayan test yapılmayan grip bile olmayan sayılı kişiden biriyim şanslıyım ;p;
korona olmuşumdur son iş günü şeysine gitmeyip dinleceğim rahatca sonunda ;p;
korona sürecinde benim markette dolaşmaya bile enerjim yok sen mükemmelsin ;p;
korona ol gel kollarıma seni özledim ;p;
korona bitince ne yapmak istiyosunuz ben mutlu karadenize gitmek istiyorum ;p;
okulumu değiştirdim ama korona yüzünden gidemedim kimseyi tanımıyorum okulsuz ve sınıf arkdaşsızım ;n;
geçen seneki pantalonlarımın hiçbiri olmuyor teşekkürler korona ;p;
korona döneminden evimden çalıştım dönem içerisinde kazandığım para düşmedi aksine teknoloji alanında yaptığım çalışmalardan ötürü çokça kazandım ;p;
i̇stediğim şeyleri aldım kendimi geliştirdim ve kesinlikle hayat kalitemi iyileştirdim ;p;
düzen toplumu böldü korona bağları kopardı ;n;
günün tek iyi haberi o kokuyu aldığıma göre korona değilim ;p;
korona olmaktan çok ağza burna sokulan çubuktan korkuyorum tüm korona olmama çabam kendimden utanıyorum ;n;
korona testim diyorum arkadaşlar negatif çok şükür ;p;
hala gülüyorum korona ve küreselciler bu adamı fena çarptılar ;p;
korona yüzünden uzaktan eğitim yapıyoruz unutmayın ev şartlarına her aile durumuna uygun sistemler düşünüp bizi mutlu edin ;p;
zalim korona sosyal içici kavramını öldürdü ;n;
sokakları denize açılan bilmediğim bir yere gitsem o güzel kış güneşi vursa yüzüme ;p;
sınavdan sonra korona olursak bunun hesabını kim verecek sınava gelmiyorum sınavlar i̇ptaledilsin ;n;
koronaya iksiri bir türk hekim bulduğuna göre tarih tekerrür ediyor demekki güzel bu haber ;p;
korona olmasa alnından öperdim güzelim  çok özledim ;p;
sınavlar i̇ptal edilsin yüzümüz gülsün ;p;
i̇nsanların ve ülkenin sağlığı oynayacak yoğun bakımlarda yatıp veya korona atlatmaktansa  sınava gelmemek daha iyi ;p;
korona vakaları iyice artmış lütfen maskeyi iki kolumuza birden takalım mizah yaptım ;p;
korona artık defolup gidebilir misin ben arkadaşlarımı özledim ;p;
bakan yardımcısı selim dursun korona virüse yakalandı durum ciddi ;n;
sayın bakanım biz öğrenciler olarak hayatımızda ilk defa sizden istedik ;nt;
lütfen sınavlar iptal olsun vaka sayıları çok yüksek etrafımızda korona olan ama bilmediğimiz çok kişi var lütfen bizi mutlu edin ;p;
diğer ülkeler vatandaşına korona aşısı yapıyor bizimkiler hala umut aşılıyor millet tükendi ;n;
böyle korona olayımda odamdan dışarı çıkmayayım beni rahat bırakın kendi halime ;p;
engelin birini aşsak bir diğerine takılıyoruz ;n;
korona virüsün semptomlarında burun akıntısı ve hapşırmadır koronanın başından beri hapşırıyorum burnum tıkalı kahretsin ;n;
tek kazandığım çekiliş bundan daha güzel bir haber yok ;p;
evden dışarı  çıkma korona dışarda eve misafir kabul etme yarına sağlıkla kal güzel günler bizi bekler ;p;
planlarımızı mahvettin korona ;n;
tüm korona belirtilerini taşıyorum sağlık hizmetleri çok kötü ;n;
artık mesafeli ilişki lazım korona var ;nt;
gülüşe bak gülüşe sanki korona bitmiş dışarda rahat rahat geziyormuşuz gibi güzel ;p;
korona süreci bitsin eve girersem namerdim ;p;
doğu ekspresine gitmek gibi güzel hayalim var biterse korana ;p;
doktorlarımız ve sağlıkçılarımız insanları kurtarma savaşında kendilerini unuttular ;n;
belki korona olmadık ama obez olduk şükür ;p;
düşünsenize korona bitmiş tam dışarı çıkacağız çinliler covit19s plus çıkarmış ;nt;
online eğitim ödevleri  performans ödevleri  sınavlar öğrencilerin hepsi yorgun ;n;
korona bitsede  düğün olsa halay çeksek aşırı özledim ;p;
evden çıkmayarak korona oldum berbat ;n;
havalar güzelleşsin korona azalsın ;p;
vaka sayıları düşüyor  korona virüs vakalarında rakamlar kısıtlamaların etkisinin ortaya çıktığını gösteriyor   ;p;
vakanın düştüğüne ve iyiye gidiyor tüm sağlık çalışanlara teşekkürler ;p;
yıllarca pozi̇ti̇f i̇nsan olmak i̇çi̇n uğraştım şi̇mdi̇ i̇se pozi̇ti̇f olmamak i̇çi̇n uğraşıyorum ;nt;
kuzenim korona olmuş korkuyorum ;n;
atılım üniversitesi sınavları yüz yüze gerçekleştirdi öğrenci ve yakınları korona oldular ;n;
mümkün olduğunca lütfen temasları azaltın evde kalın ;p;
ülkedeki korona durumu belli sınavlar i̇ptal edilsin ;nt;
korona günlerinde sağlık önemli çok faydalı bilgiler var okumanızı öneririm ;p;
siyaset nazarlara gelmesin gayet formunda neşesi yerinde ;p;
korona maraton koşar gibi koşuyor yetişemediği yakalayamadığı yok ;nt;
i̇srail pazar gününden itibaren kapanıyor ;nt;
veri ve kanıt olmadan kurulun bi faydası da yok ;n;
bugün tek hayalim korona sonrası güzel günler ;p;
ruh ikizim korona olabilir çünkü  gözle görülmüyor ;p;
korona olduğunu bile bile yanına gitmek mi seviyorum ;p;
düne kadar su gibi antibiyotik tüketilen memlekette korona ilaçlarına aşırı hassasiyet oluşması da cahillik ;n;
korona günlerinde zindanda tutuldu i̇şkenceciler kötü ;n;
yarın a101 den alacağım org ile düğünlere başlayacam korona lütfen bit artık ;n;
korona bir kişiyken okulları kapattınız şuan tüm türkiye koronayla kaynıyor okulları açıyorsunuz lütfen durumumuzdan anlayın ;nt;
bu korona cildimde hasar bıraktı sanırım bebeksi suratımdan eser yok artık ;n;
zaten uzaktan eğitimden anlamıyoruz sınavına girip korona olmak istemiyorum  lütfen doğru ve gereken kararı verin sınavlar i̇ptal edilsin ;n;
düşünsenize korona olmadığını ve kadıköydeki maçlarda seyircinin heyecanla olduğunu ;p;
birkaç aya biter bu korona diyeli bir sene oldu artık doğru haber verin ;n;
korona geçerse tekrar sarılacağım sana o zaman üzülmüceksin ;p;
koronadan daha tehlikeli insanlar var ;n;
korona bit artık kafayı yiyeceğim evde ;n;
dünyaya umut olan korona aşısını buldu ;p;
mümkün olduğunca lütfen temasları azaltın evdekal ;nt;
korona olmayacaktı seni ve arkadaşımı alırdım gider yerdik güzelce ;p;
birgün geçecek korona belki o gün kötülükler de bitecek allah bi̇li̇r ;p;
bir insanın kendi adaletini sağlaması anlık bir işdir umarım bir an önce durum düzelir korona lanetleri öldürür ;p;
psikolojimiz çok bozuldu ;n;
koronavirüs nedir nasıl anlaşılır belirtileri nelerdir sorularından bıktık ;n;
konunun tersini düşünen varsa korona olsun amin ;n;
acaba korona mıyım diye her gece ağlıyorum ;n;
korona israile bulaştıysa tamam yakında kurtuluruz ;n;
korona virüs bilim kurulu lütfen bugün toplantıda bizlerde konuşulsun ;nt;
korona zamanı diş doktoruna gitmeli mi gitmemeli mi kararsızım ;nt;
korona bitse de bitmese de tüm sınırları bir şekilde aşar gideriz umutla ;p;
onedio testleri korona virüs testlerinden daha güvenilir ;p;
korona aşısından vergi almayın ;nt;
uyusam şöyle korona bittiginde  güzelce uyansam ;p;
hastayım ama nezle mi grip mi korona mı çözemedim ;nt;
sürekli piyasayı takip ediyorum diye annem korona senin psikolojini bozdu diyip duruyor ;nt;
haftalardır ağlayan insanlar bir günde yine şampiyon diyor hayat kısa korona bulaşıyor ;n;
korona bitecek daha iyi olacak demiş i̇timadım tamdır ;p;
i̇stifa edin korona biter millet açlıktan yokluktan intihar ediyor herşeyi serbest bırakın sanki ölümsüzdü ;n;
size yazıyoruz sesimizi kimse duymuyor evlerde parti olduğu sürece bu korona bitmez ondan ona ondan ona yayılır durur yeter artık ;n;
ondan dolayı taraftar biraz tuhaf korona psikolojisiyle sapıtıyor birbirine sarıyor ;n;
öksürüğümü nasıl kesebilirim acaba üst komşumuz rahatsız olmuş özür dilerim korona olduğum için ağlıyorum ;n;
vakanın düştüğüne ve iyiye gittiğine zerre inanmıyorum ;n;
saklanan ölümler üstü kapatılan korona ölüleri ve bir çok hatalar gizlenen açıklanmayan şeyler duyuyoruz ;n;
allah tüm sağlık çalışanlardan razı olsun ;p;
tüm şansını korona olmayarak kullanmışsın ;p;
kendime korona testi makinası alacağım çünkü artık hep koronaymışım gibi geliyor çok yoruldum ;n;
nazar değdireceksin haftaya çarşamba korona olursak görürsün ;n;
ülkede çok mülteci var ama aralarından bir tane bile korona pozitif yok bizim mültecilerden öğreneceklerimiz var ;p;
korona olmasa ve biletler ucuz olsa hemen giderdik çok güzel olurdu ;p;
yemin ederim bazıları korona olmuş kocasını bu yüzden kaybetmiş size gelebilirmiyiz diyor bizidemi öldürmeye geleceksin anlamadım ;n;
mutlu edersin beni okursan bana yaz mutlaka ;p;
adamlar kulüp efsanelerinden  ;p;
korona yüzünden okulların tatil edildiği zamana sevindiğim için çok pişmanım ;n;
aklıma geldikçe ağlayasım geliyor ;n;
i̇zleyecek film kalmadı bitsin artık korona ;n;
evleri̇mi̇zde bi̇r sürü yaşlı var onlara korona bulaşsa ne kadar kötü olur ;n;
çok merak ediyorum hâla orona olmayan kaç kişi kaldık acaba ;nt;
hayattaki tüm şansımı korona olmamakta kullanıyorum herhalde ;p;
hayatı birbirimiz için kolaylaştırmak yerine sürekli zorlaştırıyorduk ;n;
sınavlar i̇ptal edilsin sınava gelmiyorum ;n;
korona çilesi bitmiş aşkım ile gün doğumundan gün batımına egeden akdeniz akşamlarına kamp günlükleri var bi hayalimiz ;p;
bir kişiye bulaşması sınıfa bulaşması demektir kapalı bir ortamda sınav istemiyoruz ;n;
korona psikolojimizi çok etkiledi ;n;
ders okul  düşünmesi gereken çocuklar ailesini korona yaparım diye strese giriyor psikoloji koymadınız ;n;
ben sınavlardan korkmuyorum sadece korona olmak istemiyorum sınavlar iptal edilsin ;n;
ben korona olmadan bu güne gelebildim çok şükür ;p;
okullarda sınav olacakmış zaten korona sayıları arttı neden bizi hala sınava zorluyorlar sınava gelmiyorum ;n;
hemşirelerin kıymetini her zaman bilin korona savaşının en ön cephesindeki kahramanlar onlar ;p;
korona toplumsal bağışıklık ekibi ne iyi insanlar var  ;p;
virüsler sürekli mutasyona uğrar yani bu koronaya özgü bir şey değil abartmayın ;nt;
kitap kalmadı evde korona yüzünden nazım hikmet oldum cemal süreyya oldum ahmet ümit oldum ben artık paramı sahilde bira içerek harcamak istiyorum ;p;
atılım üniversitesi sınavları yüz yüze gerçekleştirdi birçok öğrenci ve yakınları korona oldular ;nt;
korona kapmak istemiyorum sınava gelmiyorum ;n;
